                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                  1.131,                 2.1943,                 1.4578,                 1.3215,                0.44671,                   0.28,                0.26622,                0.11701,                0.42273,                  0.248,                0.23222,                0.10063,                 1.9222,                 3.9163,                 3.0196,                 1.9968,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1234,                 2.2578,                 1.4566,                 1.2962,                0.47395,                  0.284,                0.27671,                0.12604,                0.34041,                  0.304,                0.25414,                0.11658,                 1.9314,                 3.6301,                 2.8948,                 2.0027,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.029,                 2.0231,                 1.4435,                 1.2776,                0.43396,                  0.232,                0.22701,                0.09857,                0.49485,                  0.192,                0.18494,                0.08128,                 2.0001,                 3.8443,                 2.9484,                 2.0416,               0.001703,               0.001703,               0.001703
                     47,                 1.0822,                 2.2142,                 1.3941,                  1.341,                0.46398,                0.27007,                0.23815,                0.10221,                0.41901,                   0.24,                0.22396,                0.09553,                 1.9845,                 3.7337,                  2.921,                  2.045,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1511,                 1.9989,                 1.4405,                 1.3617,                0.27821,                  0.172,                0.11718,                0.04727,                 0.2588,                   0.16,                0.10546,                0.04912,                 2.1897,                 4.6984,                 4.0321,                  2.144,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.2335,                 2.4048,                 1.6428,                 1.4108,                0.22689,                  0.168,                0.11658,                0.04811,                0.24785,                  0.168,                0.11165,                 0.0506,                 2.1906,                  4.729,                 3.9812,                 2.1063,              0.0016832,              0.0016832,              0.0016832
                     50,                  1.139,                 2.1689,                 1.4797,                 1.3676,                0.38271,                   0.34,                0.26444,                 0.1075,                0.35973,                   0.32,                0.23605,                0.09966,                 1.9638,                 4.0581,                 2.9623,                 1.9164,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.1023,                 2.0675,                 1.4153,                  1.309,                 0.3483,                  0.324,                 0.2623,                  0.107,                0.37173,                  0.316,                0.24076,                0.10421,                 2.0517,                 4.0199,                  2.787,                 2.0054,                0.00167,                0.00167,                0.00167
                     52,                 1.1001,                 2.1986,                 1.4806,                 1.3199,                0.31068,                  0.344,                0.23021,                0.09574,                0.35351,                  0.292,                0.22249,                0.09646,                 2.0766,                 3.8563,                 2.6641,                 2.0397,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0587,                 2.0262,                 1.5158,                 1.3256,                0.33413,                  0.288,                0.21914,                0.09689,                0.32527,                  0.276,                0.20511,                 0.0897,                 2.0324,                 3.8235,                 2.7297,                 1.9658,              0.0016568,              0.0016568,              0.0016568
