                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1404,                 2.2631,                 1.5537,                 1.3372,                0.25294,                0.18419,                0.14514,                0.05296,                0.30582,                  0.196,                0.14539,                0.05294,                 2.3625,                 4.3725,                 3.1381,                 2.3545,               0.001703,               0.001703,               0.001703
                     47,                  1.112,                 2.1597,                 1.5124,                 1.3485,                  0.265,                  0.248,                0.16979,                0.06302,                0.32646,                0.21521,                0.16094,                0.06715,                 2.2921,                 4.1767,                 2.9524,                 2.2938,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.0904,                 2.0787,                 1.5512,                 1.3332,                0.33632,                  0.308,                0.21066,                0.08738,                0.31874,                  0.296,                0.20469,                0.09214,                 2.0811,                 4.2453,                 2.6299,                 2.0435,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.1166,                 2.4823,                 1.5015,                 1.3841,                 0.3486,                  0.264,                0.19695,                 0.0846,                0.33812,                  0.272,                0.19384,                0.08821,                 2.1462,                 4.3926,                  2.896,                 2.0819,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.2356,                 2.3518,                 1.5239,                 1.4484,                0.33127,                0.26949,                0.18593,                0.07766,                0.30834,                0.25143,                0.16642,                0.07321,                 2.1661,                 4.6482,                 2.9424,                 2.1599,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.1737,                 2.4462,                 1.6317,                 1.4374,                 0.3101,                  0.236,                0.15905,                0.06206,                0.25649,                  0.228,                0.13347,                0.05063,                 2.2084,                 4.4829,                 3.0661,                 2.1481,                0.00167,                0.00167,                0.00167
                     52,                 1.2893,                 2.4118,                  1.633,                 1.4134,                0.24333,                0.14279,                0.10445,                0.03703,                0.18973,                  0.124,                0.07007,                 0.0235,                 2.3509,                 4.6582,                 3.7925,                 2.3028,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.2526,                 2.4493,                 1.6159,                 1.4062,                0.24181,                  0.184,                0.12478,                0.04055,                0.24533,                  0.168,                0.09493,                 0.0304,                 2.3324,                  4.494,                 3.6115,                 2.2829,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.2028,                 2.5109,                 1.5799,                 1.3654,                0.29848,                  0.212,                0.14334,                0.05506,                0.24926,                  0.172,                0.11234,                0.04172,                 2.1225,                 4.2823,                 3.3317,                 2.0449,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.1541,                 2.3059,                 1.5727,                 1.3712,                0.28686,                  0.164,                0.11374,                0.04954,                 0.2941,                   0.16,                0.10842,                0.04317,                 2.1034,                  4.342,                 3.5895,                 2.0742,              0.0016436,              0.0016436,              0.0016436
